Generacja,Bot_ID,Punkty,AST_Tree
68,12,1979,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_enemy_has_many_pike, a_dynamic_atk_percent(168)), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_dynamic_group_size(168)), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_some_ram, a_build_house), MANY_RULES(DEFRULE(c_some_ram, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(t_empty_rule, MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), TWO_RULES(DEFRULE(c_few_skirm, a_train_vill), DEFRULE(c_some_ram, a_build_house)))))))))))))))"
68,0,1930,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_few_barracks, a_dynamic_civ_scout_cap(20)), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(AND(c_can_res_blast, c_enemy_has_many_pike), a_dynamic_group_size(20)), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), TWO_RULES(DEFRULE(c_far_gold, a_train_vill), DEFRULE(c_few_mangonel, a_town_size_30))))))))))"
68,74,1869,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(AND(c_mil_pop_10, c_enemy_has_many_pike), a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_skirm, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_some_ram, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, DO_BOTH(a_build_dock, a_forward_tower)), MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), TWO_RULES(DEFRULE(c_far_gold, a_train_vill), DEFRULE(c_some_ram, a_build_house))))))))))))))))))))"
68,32,1821,"MANY_RULES(t_empty_rule, MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), TWO_RULES(DEFRULE(c_far_gold, a_dynamic_civ_scout_cap(168)), DEFRULE(c_some_ram, a_build_house))))))))"
68,21,1807,"MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(20)), MANY_RULES(DEFRULE(AND(c_can_res_blast, c_enemy_has_many_pike), a_dynamic_atk_percent(168)), MANY_RULES(DEFRULE(c_few_skirm, a_dynamic_civ_scout_cap(i_val(168))), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), TWO_RULES(DEFRULE(c_no_castle, a_res_scale_mail), DEFRULE(AND(c_few_skirm, c_can_build_market), a_dynamic_civ_scout_cap(5)))))))))"
68,67,1794,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(AND(c_mil_pop_10, c_enemy_has_many_pike), a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_can_buy_wood, a_go_imperial_age), MANY_RULES(DEFRULE(c_few_skirm, a_train_knight), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_train_vill), TWO_RULES(DEFRULE(c_few_skirm, a_train_vill), DEFRULE(c_enemy_has_many_infantry, a_build_house))))))))))))"
68,64,1786,"MANY_RULES(DEFRULE(c_some_skirm, a_build_house), MANY_RULES(DEFRULE(c_some_ram, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_barracks, a_train_vill), MANY_RULES(DEFRULE(c_some_ram, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), TWO_RULES(DEFRULE(c_is_feudal_age, a_dynamic_atk_percent(168)), DEFRULE(c_few_skirm, a_build_house)))))))))"
68,50,1776,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), TWO_RULES(DEFRULE(c_few_skirm, a_train_vill), DEFRULE(c_some_ram, a_build_house))))"
68,30,1769,"MANY_RULES(DEFRULE(c_far_gold, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_enemy_has_many_pike, a_dynamic_atk_percent(168)), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_dynamic_group_size(168)), MANY_RULES(DEFRULE(c_many_scout, a_train_monk), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), TWO_RULES(DEFRULE(c_few_skirm, a_train_vill), DEFRULE(c_some_ram, a_build_house))))))))))))))))"
68,3,1731,"MANY_RULES(DEFRULE(c_can_res_blast, a_train_vill), MANY_RULES(DEFRULE(c_some_knight, a_dynamic_civ_scout_cap(168)), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), MANY_RULES(DEFRULE(AND(c_can_res_stone_1, c_enemy_has_many_pike), a_dynamic_group_size(20)), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_loom), MANY_RULES(DEFRULE(c_few_skirm, a_build_house), TWO_RULES(DEFRULE(c_can_res_blast, a_train_vill), DEFRULE(c_few_mangonel, a_build_house)))))))))))"
68,35,1720,"MANY_RULES(t_empty_rule, MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_skirm, a_train_vill), MANY_RULES(DEFRULE(c_few_skirm, a_res_farm_2), MANY_RULES(DEFRULE(c_few_barracks, a_res_loom), MANY_RULES(DEFRULE(c_few_barracks, a_build_house), TWO_RULES(DEFRULE(c_far_gold, a_dynamic_civ_scout_cap(9)), DEFRULE(c_some_ram, a_build_house))))))))"
