Generacja,Bot_ID,Punkty,town_size,feudal_wood_percent,feudal_gold_percent,feudal_stone_percent,feudal_food_percent,castle_wood_percent,castle_gold_percent,castle_stone_percent,castle_food_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_castle,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,retreat_threshold,attack_groups,feudal_aggression,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
1,10,2741,30,50,8,4,38,32,29,15,24,19,35,0,5,1,1,1,0,0,1,0,1,6,17,0,0,8,23,1,22,1,51,11,16,38,8,3,1,1,0,1,1,0,1,0,1,1,1
1,31,2723,22,39,9,0,52,34,13,12,41,23,37,0,8,1,1,0,1,1,1,1,1,4,12,6,4,2,19,2,15,0,62,6,19,36,7,2,1,1,1,1,1,1,0,0,1,0,1
1,96,2722,30,46,6,3,45,27,29,10,34,26,38,0,8,0,1,1,1,1,1,0,1,3,30,10,6,18,29,3,11,1,90,6,16,37,1,2,0,1,1,1,1,1,1,0,1,1,1
1,34,2704,23,49,13,1,37,29,23,15,33,23,38,0,8,1,0,1,1,0,1,0,0,6,27,12,8,25,13,1,35,0,82,8,22,35,3,2,1,1,1,0,1,0,1,1,0,1,0
1,92,2695,16,31,3,3,63,25,23,5,47,19,35,1,6,1,0,1,1,0,0,1,0,10,12,12,2,24,22,1,28,0,98,13,17,39,14,4,0,1,1,1,1,0,1,1,1,1,0
1,49,2659,19,49,6,1,44,24,26,5,45,24,35,0,5,1,1,1,1,0,0,0,0,2,40,7,6,15,17,3,34,0,78,15,18,50,8,1,0,1,0,1,1,1,0,1,0,1,1
1,29,2644,25,43,10,5,42,22,20,9,49,19,35,0,5,1,1,1,0,1,1,1,1,5,25,15,8,4,26,1,12,1,78,17,21,47,14,3,0,1,1,1,0,0,1,1,0,1,1
1,51,2609,26,33,10,2,55,27,19,9,45,25,38,1,6,1,0,1,0,1,0,1,0,8,22,12,7,14,19,3,31,0,78,14,16,39,8,3,1,1,1,1,1,0,1,0,1,0,1
1,19,2605,17,43,6,5,46,30,29,9,32,27,38,1,6,0,1,0,0,1,1,0,0,1,31,4,4,20,19,5,18,0,86,11,15,48,5,4,0,1,0,1,1,1,1,1,0,1,0
1,3,2541,17,46,0,1,53,24,17,13,46,27,31,0,8,1,0,1,1,1,0,1,0,1,10,10,9,1,16,5,25,1,71,16,22,39,13,4,0,0,1,0,1,1,1,1,0,0,1
1,42,2524,22,42,14,1,43,37,15,13,35,22,30,1,4,0,0,1,1,0,1,0,1,2,29,12,7,7,12,5,17,0,87,17,17,42,7,4,0,1,0,0,1,1,1,0,1,1,0
1,55,2522,27,35,15,2,48,36,23,9,32,23,30,0,7,1,0,1,0,1,0,1,0,0,23,4,1,16,25,4,16,0,66,6,25,36,12,4,0,0,1,0,1,1,1,1,0,1,0
1,77,2519,20,40,15,3,42,23,17,8,52,20,37,0,7,1,1,0,1,1,1,0,1,10,33,14,0,25,20,3,31,1,63,8,16,45,7,3,0,0,1,0,1,1,1,0,1,1,0
1,69,2515,22,47,1,5,47,38,23,8,31,20,38,1,7,1,0,0,1,0,1,0,0,9,38,7,9,23,15,1,13,1,66,17,23,35,10,3,1,0,0,0,0,1,0,1,0,1,1
1,60,2509,26,37,4,0,59,37,23,6,34,18,34,1,8,1,0,1,0,0,1,0,1,6,38,6,1,20,26,4,19,1,63,14,21,43,2,4,1,0,0,1,0,1,1,0,1,0,0
1,82,2496,16,49,2,2,47,38,27,15,20,25,35,1,8,1,0,0,1,1,1,1,0,9,33,5,3,23,21,4,32,0,56,17,20,44,0,3,0,0,1,0,0,0,0,1,0,0,0
1,26,2492,25,31,8,4,57,32,26,9,33,23,32,1,4,1,1,0,0,0,0,1,1,5,12,6,2,16,28,4,20,0,59,5,23,45,5,1,0,1,0,0,0,1,0,0,0,1,0
1,71,2453,17,30,6,4,60,36,21,8,35,25,38,0,4,1,1,0,1,1,1,1,0,7,36,7,6,19,18,2,22,1,55,15,18,36,10,2,0,0,1,1,0,1,1,0,0,1,1
1,73,2447,20,38,4,1,57,29,19,12,40,28,31,0,8,1,1,1,0,0,0,0,1,4,37,7,2,25,24,2,12,0,59,9,19,40,10,1,0,0,0,1,0,1,1,1,1,0,1
1,6,2444,29,41,3,1,55,39,11,15,35,22,37,1,6,1,0,0,1,0,1,1,1,2,21,13,3,5,23,1,27,1,54,12,18,35,5,2,1,0,1,1,0,1,1,0,0,1,1
1,43,2439,26,39,7,3,51,20,22,11,47,24,29,0,8,1,0,1,1,0,0,0,1,4,23,13,0,17,23,5,13,0,72,5,22,43,13,3,0,1,1,1,0,1,0,0,1,0,0
1,14,2431,24,33,15,1,51,27,16,5,52,23,36,0,5,1,0,1,1,1,1,1,1,0,30,14,10,24,21,3,29,0,89,9,25,49,8,2,0,1,1,1,0,0,0,0,0,1,1
1,81,2429,18,44,2,5,49,20,25,10,45,27,30,0,7,0,1,0,0,0,1,1,1,3,14,13,3,13,27,1,19,1,63,14,18,37,15,4,1,1,1,1,0,1,0,1,1,0,1
1,12,2425,21,45,9,0,46,26,14,11,49,25,34,0,5,0,1,0,1,0,1,1,0,4,38,10,6,20,29,4,20,0,63,5,17,42,12,1,0,1,1,0,0,0,1,1,1,0,1
1,72,2422,24,46,10,1,43,27,16,8,49,25,40,1,7,0,0,0,0,0,0,1,1,9,11,1,3,20,29,1,16,1,83,7,23,37,12,1,1,1,1,0,1,1,0,0,1,0,1
1,87,2420,30,35,7,4,54,25,10,8,57,22,39,0,5,1,0,1,0,0,1,1,0,5,37,6,6,6,28,2,12,1,52,15,17,44,7,4,1,1,1,1,0,1,1,1,0,1,1
1,75,2415,27,36,8,0,56,28,12,13,47,19,40,0,4,1,0,0,0,1,1,1,1,7,29,6,9,17,11,3,11,1,88,7,16,42,6,4,0,0,1,0,1,0,0,0,1,1,0
1,15,2412,16,31,12,1,56,23,16,6,55,20,33,0,5,1,1,0,0,0,1,1,0,1,14,8,7,24,27,3,34,1,80,18,22,37,5,1,0,1,1,0,0,0,0,0,1,0,0
1,84,2409,16,45,4,2,49,23,29,14,34,22,29,0,4,0,1,1,0,1,0,1,0,0,33,10,6,0,27,3,20,0,86,11,24,47,5,2,0,0,0,1,1,1,0,1,1,0,1
